,beat_pitch
124,"[[(1, 76), (2, 71), (3, 73), (4, 76), (5, 74), (7, 78), (9, 76)], [(1, 76), (3, 74), (4, 72), (5, 74), (7, 72), (9, 71), (11, 74)], [(1, 76), (3, 81), (4, 79), (5, 79), (7, 76), (8, 74), (9, 73)], [(1, 76), (2, 74), (3, 75), (4, 79), (5, 78), (7, 76), (8, 79), (9, 81)], [(1, 76), (3, 74), (4, 72), (5, 74), (7, 74), (8, 76), (9, 74)], [(1, 76), (3, 72), (4, 76), (5, 74), (7, 73), (8, 74), (9, 76), (11, 73)], [(1, 76), (2, 78), (3, 79), (4, 78), (5, 79), (7, 79), (8, 76), (9, 74), (11, 72), (12, 74)], [(1, 76), (3, 74), (4, 73), (5, 76), (7, 77), (9, 74), (10, 66), (11, 69), (12, 71)]]"
125,"[[(1, 73), (2, 69), (3, 70), (4, 74), (5, 74), (7, 72), (8, 74), (9, 69), (11, 71), (12, 69)], [(1, 73), (2, 74), (3, 72), (5, 74), (7, 71), (8, 74), (9, 76), (11, 81)], [(1, 73), (2, 74), (3, 72), (5, 60), (7, 59), (8, 60), (9, 62)], [(1, 73), (2, 71), (3, 73), (4, 72), (5, 74), (7, 72), (8, 74), (9, 79)], [(1, 73), (3, 76), (4, 73), (5, 74), (7, 72), (8, 71), (9, 72)], [(1, 73), (3, 74), (4, 72), (5, 69), (7, 65), (9, 64)], [(1, 73), (2, 74), (3, 72), (4, 70), (5, 72), (7, 71), (9, 73)], [(1, 73), (2, 71), (3, 73), (4, 69), (5, 71), (7, 67), (9, 71), (11, 74)]]"
126,"[[(1, 65), (3, 65), (4, 67), (5, 69), (7, 71), (9, 72)], [(1, 65), (3, 69), (5, 67), (7, 62), (9, 62)], [(1, 65), (3, 65), (4, 67), (5, 65), (7, 70), (9, 72)], [(1, 65), (3, 64), (5, 64), (7, 71), (9, 72)], [(1, 65), (2, 75), (3, 74), (5, 74), (7, 71), (9, 71)], [(1, 65), (2, 67), (3, 70), (5, 74), (7, 74), (9, 76), (11, 74), (12, 71)], [(1, 65), (2, 69), (3, 67), (4, 70), (5, 69), (7, 69), (9, 66), (11, 69), (12, 67)], [(1, 65), (3, 69), (4, 66), (5, 67), (6, 69), (7, 70), (9, 67), (11, 74), (12, 77)]]"
127,"[[(1, 82), (3, 81), (5, 79), (7, 78), (8, 76), (9, 71), (11, 67), (12, 70)], [(1, 82), (3, 81), (5, 81), (7, 85), (8, 83), (9, 85)], [(1, 82), (3, 79), (5, 78), (7, 71), (8, 67), (9, 69)], [(1, 82), (2, 81), (3, 79), (4, 76), (5, 71), (7, 74), (8, 72), (9, 73)], [(1, 82), (2, 81), (3, 78), (4, 81), (5, 82), (6, 86), (7, 82), (8, 79), (9, 72), (10, 71), (11, 72)], [(1, 82), (2, 75), (3, 74), (4, 75), (5, 72), (6, 71), (7, 69), (8, 71), (9, 73), (10, 74)], [(1, 82), (2, 81), (3, 78), (5, 64), (6, 65), (7, 74), (8, 72), (9, 74), (10, 73), (11, 74)], [(1, 82), (2, 81), (3, 80), (5, 76), (6, 77), (7, 76), (8, 77), (9, 79)]]"
128,"[[(1, 74), (3, 78), (4, 79), (5, 78), (7, 79), (9, 78)], [(1, 74), (2, 75), (3, 74), (4, 76), (5, 74), (7, 72), (8, 76), (9, 76)], [(1, 74), (3, 77), (4, 76), (5, 74), (7, 74), (8, 76), (9, 74), (11, 77)], [(1, 74), (3, 74), (4, 72), (5, 71), (7, 79), (9, 76)], [(1, 74), (3, 76), (4, 78), (5, 79), (7, 83), (9, 85), (11, 85), (12, 81)], [(1, 74), (3, 72), (4, 76), (5, 78), (7, 78), (9, 79)], [(1, 74), (3, 71), (4, 72), (5, 69), (6, 70), (7, 69), (9, 69)], [(1, 74), (2, 72), (3, 76), (4, 74), (5, 72), (7, 72), (9, 72)]]"
129,"[[(1, 76), (3, 74), (4, 78), (5, 76), (6, 74), (7, 73), (9, 74)], [(1, 76), (3, 76), (4, 79), (5, 77), (9, 74)], [(1, 76), (3, 73), (4, 74), (5, 69), (7, 67), (9, 65), (11, 69)], [(1, 76), (3, 78), (4, 74), (5, 72), (9, 69), (11, 67)], [(1, 76), (3, 76), (4, 79), (5, 79), (9, 67)], [(1, 76), (3, 76), (4, 77), (5, 81), (9, 77)], [(1, 76), (3, 74), (4, 73), (5, 74), (7, 71), (8, 73), (9, 74)], [(1, 76), (3, 76), (4, 79), (5, 77), (7, 74), (8, 74), (9, 73), (11, 69)]]"
130,"[[(1, 78), (2, 79), (3, 82), (4, 79), (5, 77), (7, 75), (8, 72), (9, 74)], [(1, 78), (2, 76), (3, 78), (4, 79), (5, 83), (6, 79), (7, 77), (8, 81), (9, 77), (10, 74)], [(1, 78), (3, 78), (4, 76), (5, 76), (6, 74), (7, 72), (8, 70), (9, 74)], [(1, 78), (2, 74), (3, 76), (4, 73), (5, 71), (7, 74), (8, 79), (9, 79)], [(1, 78), (3, 78), (4, 81), (5, 82), (7, 81), (8, 82), (9, 81)], [(1, 78), (3, 74), (4, 75), (5, 77), (7, 81), (8, 79), (9, 77), (10, 79)], [(1, 78), (4, 74), (5, 72), (7, 72), (8, 69), (9, 78)], [(1, 78), (3, 74), (4, 72), (5, 74), (7, 72), (8, 69), (9, 71)]]"
131,"[[(1, 76), (3, 74), (5, 74), (7, 71), (8, 74), (9, 72), (11, 70)], [(1, 76), (3, 72), (4, 76), (5, 77), (7, 76), (8, 79), (9, 77)], [(1, 76), (3, 79), (4, 77), (5, 72), (7, 71), (8, 69), (9, 57), (10, 64), (11, 62), (12, 66)], [(1, 76), (3, 88), (4, 88), (5, 74), (7, 79), (8, 81), (9, 77), (11, 81)], [(1, 76), (3, 71), (4, 74), (5, 76), (6, 74), (7, 73), (8, 71), (9, 72)], [(1, 76), (2, 81), (3, 79), (4, 83), (5, 84), (6, 82), (7, 81), (9, 79)], [(1, 76), (2, 77), (3, 76), (4, 74), (5, 72), (7, 76), (8, 74), (9, 72)], [(1, 76), (3, 72), (4, 71), (5, 71), (7, 71), (8, 69), (9, 71)]]"
132,"[[(1, 70), (3, 70), (5, 70), (6, 72), (7, 69), (9, 71)], [(1, 70), (3, 69), (4, 70), (5, 74), (6, 71), (7, 69), (8, 67), (9, 71)], [(1, 70), (3, 69), (5, 69), (7, 71), (8, 69), (9, 70)], [(1, 70), (3, 69), (5, 65), (7, 67), (8, 69), (9, 71), (11, 69)], [(1, 70), (3, 74), (5, 74), (7, 79), (8, 78), (9, 79), (10, 78), (11, 76)], [(1, 70), (2, 67), (3, 66), (4, 67), (5, 72), (7, 71), (8, 72), (9, 71), (10, 62), (11, 64), (12, 62)], [(1, 70), (2, 69), (3, 79), (4, 76), (5, 79), (7, 70), (8, 72), (9, 71)], [(1, 70), (3, 69), (4, 67), (5, 66), (7, 66), (8, 69), (9, 70), (10, 69)]]"
133,"[[(1, 76), (2, 72), (3, 76), (4, 74), (5, 69), (9, 57), (11, 73)], [(1, 76), (2, 77), (3, 76), (4, 72), (5, 71), (7, 71), (8, 74), (9, 72), (11, 74)], [(1, 76), (2, 79), (3, 76), (4, 74), (5, 76), (7, 84), (8, 81), (9, 76), (10, 78)], [(1, 76), (3, 72), (4, 76), (5, 77), (7, 74), (8, 72), (9, 74), (10, 66), (11, 64)], [(1, 76), (2, 74), (3, 76), (4, 77), (5, 81), (6, 79), (7, 81), (8, 79), (9, 81), (10, 83), (11, 81), (12, 83)], [(1, 76), (3, 74), (4, 71), (5, 64), (6, 67), (7, 66), (8, 67), (9, 71), (11, 67)], [(1, 76), (3, 69), (4, 71), (5, 74), (7, 73), (8, 71), (9, 72), (11, 74)], [(1, 76), (3, 74), (4, 71), (5, 74), (7, 72), (8, 71), (9, 69)]]"
134,"[[(1, 60), (2, 64), (3, 62), (4, 64), (5, 57), (7, 56), (9, 57)], [(1, 60), (3, 76), (4, 77), (5, 76), (7, 69), (9, 69)], [(1, 60), (3, 62), (4, 63), (5, 65), (6, 64), (7, 65), (8, 64), (9, 61)], [(1, 60), (3, 64), (4, 66), (5, 67), (7, 66), (8, 67), (9, 69), (10, 72)], [(1, 60), (3, 75), (4, 79), (5, 81), (7, 81), (8, 77), (9, 79), (11, 76)], [(1, 60), (3, 56), (4, 72), (5, 69), (6, 66), (7, 64), (8, 66), (9, 67)], [(1, 60), (3, 75), (4, 74), (5, 76), (7, 76), (9, 76)], [(1, 60), (3, 75), (4, 77), (5, 74), (7, 79), (8, 72), (9, 71), (11, 69)]]"
135,"[[(1, 78), (3, 76), (4, 73), (5, 77), (7, 76), (8, 73), (9, 69)], [(1, 78), (3, 74), (4, 78), (5, 79), (6, 77), (7, 77), (9, 76)], [(1, 78), (3, 78), (4, 76), (5, 78), (7, 81), (9, 79)], [(1, 78), (3, 76), (4, 73), (5, 74), (6, 73), (7, 76), (9, 76)], [(1, 78), (2, 79), (3, 76), (4, 74), (5, 72), (7, 69), (9, 69)], [(1, 78), (2, 79), (3, 76), (4, 72), (5, 74), (9, 62)], [(1, 78), (2, 74), (3, 76), (4, 74), (5, 77), (9, 76), (11, 72), (12, 65)], [(1, 78), (2, 69), (3, 71), (4, 73), (5, 74), (9, 72)]]"
136,"[[(1, 69), (3, 69), (5, 68), (6, 69), (7, 71), (8, 67), (9, 66)], [(1, 69), (3, 71), (5, 72), (6, 70), (7, 79), (8, 76), (9, 77)], [(1, 69), (3, 67), (4, 72), (5, 70), (6, 77), (7, 76), (8, 77), (9, 76), (11, 74)], [(1, 69), (3, 77), (4, 81), (5, 79), (7, 77), (8, 76), (9, 74), (11, 76)], [(1, 69), (3, 72), (4, 70), (5, 72), (7, 69), (9, 66)], [(1, 69), (2, 73), (3, 74), (4, 77), (5, 74), (6, 66), (7, 64), (9, 64)], [(1, 69), (2, 73), (3, 74), (4, 73), (5, 74), (9, 72)], [(1, 69), (3, 69), (4, 72), (5, 74), (9, 72)]]"
137,"[[(1, 71), (3, 72), (4, 74), (5, 74), (6, 76), (7, 78), (8, 81), (9, 72), (11, 70)], [(1, 71), (2, 69), (3, 74), (4, 73), (5, 74), (6, 76), (7, 78), (8, 81), (9, 83), (11, 81), (12, 79)], [(1, 71), (2, 69), (3, 70), (4, 69), (5, 67), (6, 69), (7, 78), (8, 81), (9, 79), (11, 76)], [(1, 71), (3, 71), (4, 69), (5, 71), (7, 69), (8, 73), (9, 74), (11, 69), (12, 67)], [(1, 71), (4, 67), (5, 65), (7, 69), (8, 72), (9, 77), (11, 76), (12, 77)], [(1, 71), (3, 71), (4, 73), (5, 74), (7, 74), (9, 76), (11, 76), (12, 74)], [(1, 71), (2, 67), (3, 66), (4, 67), (5, 69), (9, 69), (11, 70), (12, 74)], [(1, 71), (2, 72), (3, 71), (4, 72), (5, 71), (8, 74), (9, 79), (11, 71)]]"
138,"[[(1, 74), (3, 74), (4, 78), (5, 79), (6, 77), (7, 73), (9, 73)], [(1, 74), (3, 73), (4, 74), (5, 73), (7, 74), (9, 62)], [(1, 74), (3, 75), (4, 74), (5, 75), (6, 76), (7, 77), (9, 77), (11, 79)], [(1, 74), (3, 74), (4, 70), (5, 63), (6, 70), (7, 68), (9, 67)], [(1, 74), (3, 79), (4, 77), (5, 74), (7, 71), (8, 69), (9, 67)], [(1, 74), (2, 70), (3, 68), (4, 67), (5, 64), (7, 79), (9, 78)], [(1, 74), (2, 71), (3, 69), (4, 67), (5, 67), (7, 65), (9, 64), (11, 64), (12, 67)], [(1, 74), (2, 77), (3, 75), (5, 76), (7, 73), (8, 71), (9, 69), (11, 66), (12, 64)]]"
139,"[[(1, 62), (5, 67), (7, 65), (9, 70)], [(1, 62), (3, 74), (5, 74), (7, 73), (9, 73)], [(1, 62), (2, 67), (3, 71), (5, 71), (7, 74), (9, 74)], [(1, 62), (2, 67), (3, 70), (5, 67), (9, 55)], [(1, 62), (2, 65), (3, 64), (5, 57), (7, 72), (9, 71)], [(1, 62), (2, 66), (3, 69), (4, 71), (5, 69), (7, 69), (8, 72), (9, 74)], [(1, 62), (3, 66), (4, 67), (5, 69), (7, 74), (9, 78)], [(1, 62), (3, 62), (4, 64), (5, 62), (9, 64)]]"
140,"[[(1, 67), (2, 66), (3, 69), (4, 66), (5, 67), (7, 65), (9, 67), (10, 76), (11, 77)], [(1, 67), (2, 62), (3, 64), (4, 66), (5, 62), (7, 70), (8, 72), (9, 77), (11, 81)], [(1, 67), (2, 69), (3, 67), (4, 69), (5, 71), (6, 67), (7, 71), (8, 72), (9, 74), (11, 72), (12, 74)], [(1, 67), (3, 67), (4, 71), (5, 72), (7, 69), (8, 62), (9, 59), (11, 74), (12, 72)], [(1, 67), (2, 69), (3, 67), (4, 71), (5, 76), (6, 74), (7, 73), (9, 74), (11, 72), (12, 74)], [(1, 67), (3, 71), (4, 69), (5, 67), (6, 65), (7, 74), (8, 72), (9, 71), (10, 74), (11, 72), (12, 74)], [(1, 67), (3, 67), (4, 69), (5, 67), (7, 69), (9, 69), (11, 72), (12, 71)], [(1, 67), (3, 72), (4, 74), (5, 73), (7, 71), (8, 74), (9, 76), (11, 72), (12, 71)]]"
141,"[[(1, 71), (2, 69), (3, 67), (4, 66), (5, 67), (6, 65), (7, 67), (8, 66), (9, 71)], [(1, 71), (3, 67), (4, 69), (5, 70), (7, 74), (8, 77), (9, 79)], [(1, 71), (3, 67), (5, 71), (6, 67), (7, 66), (8, 64), (9, 72)], [(1, 71), (2, 72), (3, 76), (4, 79), (5, 81), (6, 79), (7, 82), (8, 81), (9, 77)], [(1, 71), (2, 69), (3, 67), (4, 71), (5, 71), (7, 69), (8, 66), (9, 69)], [(1, 71), (2, 67), (3, 63), (4, 62), (5, 64), (7, 79), (8, 76), (9, 74), (11, 78)], [(1, 71), (2, 74), (3, 78), (4, 76), (5, 79), (9, 77), (11, 76)], [(1, 71), (2, 69), (3, 71), (4, 68), (5, 67), (9, 55), (11, 71), (12, 74)]]"
142,"[[(1, 67), (3, 76), (5, 69), (7, 71), (8, 68), (9, 69), (10, 69), (11, 71)], [(1, 67), (3, 69), (4, 65), (5, 67), (7, 65), (8, 67), (9, 71), (11, 74)], [(1, 67), (3, 70), (5, 70), (7, 69), (8, 67), (9, 71), (11, 69), (12, 62)], [(1, 67), (2, 69), (3, 67), (5, 72), (7, 71), (8, 72), (9, 64), (11, 60), (12, 57)], [(1, 67), (3, 71), (5, 71), (7, 71), (8, 67), (9, 62), (11, 64)], [(1, 67), (3, 72), (4, 69), (5, 70), (7, 69), (8, 72), (9, 71)], [(1, 67), (2, 66), (3, 69), (4, 64), (5, 65), (7, 69), (8, 72), (9, 70)], [(1, 67), (2, 71), (3, 73), (4, 74), (5, 79), (7, 74), (8, 71), (9, 72), (11, 74), (12, 72)]]"
143,"[[(1, 69), (3, 77), (4, 81), (5, 79), (6, 78), (7, 74), (9, 74)], [(1, 69), (3, 73), (4, 74), (5, 76), (6, 72), (7, 71), (8, 67), (9, 67)], [(1, 69), (2, 71), (3, 74), (4, 70), (5, 72), (7, 76), (8, 79), (9, 72)], [(1, 69), (2, 73), (3, 69), (4, 67), (5, 69), (6, 74), (7, 73), (8, 71), (9, 74), (11, 76)], [(1, 69), (3, 69), (4, 66), (5, 67), (6, 69), (7, 72), (8, 77), (9, 74), (11, 72), (12, 71)], [(1, 69), (4, 74), (5, 76), (6, 72), (7, 79), (9, 79), (11, 78), (12, 74)], [(1, 69), (3, 77), (4, 81), (5, 71), (6, 69), (7, 65), (9, 62), (11, 62)], [(1, 69), (2, 71), (3, 74), (4, 72), (5, 69), (6, 71), (7, 73), (9, 74), (11, 77), (12, 74)]]"
144,"[[(1, 74), (5, 69), (6, 74), (7, 72), (9, 72)], [(1, 74), (5, 74), (6, 72), (7, 79), (8, 74), (9, 73)], [(1, 74), (2, 72), (3, 71), (5, 71), (6, 72), (7, 71), (8, 69), (9, 71)], [(1, 74), (2, 73), (3, 71), (4, 74), (5, 76), (7, 78), (8, 79), (9, 75)], [(1, 74), (3, 73), (4, 76), (5, 74), (7, 76), (8, 74), (9, 79)], [(1, 74), (3, 79), (4, 72), (5, 55), (7, 79), (8, 78), (9, 81)], [(1, 74), (3, 76), (4, 74), (5, 69), (6, 71), (7, 72), (8, 71), (9, 67), (10, 72)], [(1, 74), (3, 73), (4, 76), (5, 78), (6, 74), (7, 76), (8, 79), (9, 77)]]"
145,"[[(1, 78), (2, 79), (3, 81), (4, 79), (5, 78), (7, 71), (8, 74), (9, 60), (11, 64), (12, 62)], [(1, 78), (2, 79), (3, 78), (4, 76), (5, 74), (7, 69), (8, 71), (9, 69), (10, 73)], [(1, 78), (3, 76), (4, 78), (5, 79), (7, 77), (8, 79), (9, 77), (10, 76), (11, 73)], [(1, 78), (3, 74), (4, 73), (5, 74), (7, 73), (8, 69), (9, 68), (11, 64)], [(1, 78), (3, 76), (5, 78), (7, 76), (8, 79), (9, 77)], [(1, 78), (3, 81), (5, 77), (7, 75), (9, 76)], [(1, 78), (3, 79), (5, 81), (7, 81), (9, 78), (11, 81)], [(1, 78), (3, 81), (5, 79), (7, 78), (8, 79), (9, 81), (11, 69), (12, 67)]]"
146,"[[(1, 74), (3, 74), (4, 77), (5, 76), (7, 72), (9, 71)], [(1, 74), (3, 74), (4, 73), (5, 74), (7, 78), (8, 76), (9, 77), (10, 74)], [(1, 74), (3, 74), (4, 77), (5, 79), (7, 83), (8, 79), (9, 75), (11, 74)], [(1, 74), (2, 72), (3, 74), (4, 73), (5, 74), (7, 72), (8, 71), (9, 71)], [(1, 74), (2, 77), (3, 76), (4, 72), (5, 71), (6, 69), (7, 71), (8, 73), (9, 74)], [(1, 74), (2, 73), (3, 76), (4, 78), (5, 76), (6, 72), (7, 71), (8, 69), (9, 64), (11, 66)], [(1, 74), (2, 73), (3, 71), (4, 69), (5, 70), (6, 74), (7, 71), (8, 74), (9, 75), (11, 74), (12, 76)], [(1, 74), (3, 71), (5, 57), (7, 72), (8, 74), (9, 79), (11, 82), (12, 84)]]"
147,"[[(1, 75), (2, 74), (3, 71), (4, 72), (5, 71), (9, 69), (11, 66)], [(1, 75), (2, 78), (3, 76), (4, 74), (5, 74), (7, 78), (9, 79)], [(1, 75), (2, 74), (3, 76), (4, 74), (5, 74), (6, 77), (7, 76), (8, 73), (9, 74)], [(1, 75), (2, 74), (3, 77), (4, 74), (5, 73), (7, 74), (8, 72), (9, 80), (11, 78)], [(1, 75), (2, 74), (3, 72), (4, 70), (5, 72), (8, 70), (9, 62), (11, 62)], [(1, 75), (2, 74), (3, 76), (4, 73), (5, 74), (9, 71)], [(1, 75), (2, 74), (3, 72), (4, 70), (5, 74), (6, 70), (7, 69), (9, 66)], [(1, 75), (2, 74), (3, 76), (4, 77), (5, 79), (7, 81), (8, 78), (9, 79)]]"
148,"[[(1, 67), (3, 71), (4, 74), (5, 71), (7, 69), (8, 71), (9, 74), (11, 70)], [(1, 67), (3, 83), (5, 76), (7, 74), (9, 81), (11, 79)], [(1, 67), (3, 69), (4, 72), (5, 72), (7, 76), (9, 77), (11, 74), (12, 77)], [(1, 67), (2, 65), (3, 69), (4, 68), (5, 67), (9, 79), (11, 76), (12, 74)], [(1, 67), (3, 70), (5, 67), (9, 55), (11, 71), (12, 69)], [(1, 67), (3, 71), (5, 73), (6, 74), (7, 71), (9, 71), (11, 71), (12, 74)], [(1, 67), (3, 71), (5, 72), (7, 74), (9, 72), (11, 70)], [(1, 67), (3, 66), (4, 69), (5, 70), (7, 74), (8, 74), (9, 73), (11, 73)]]"
149,"[[(1, 67), (2, 79), (3, 81), (4, 76), (5, 74), (7, 76), (9, 74), (10, 73), (11, 71), (12, 68)], [(1, 67), (2, 66), (3, 69), (4, 68), (5, 67), (7, 71), (9, 72), (11, 70)], [(1, 67), (3, 76), (4, 79), (5, 76), (7, 81), (9, 79)], [(1, 67), (3, 79), (4, 81), (5, 79), (7, 79), (9, 83), (11, 81), (12, 83)], [(1, 67), (3, 71), (5, 71), (9, 71), (11, 69), (12, 66)], [(1, 67), (3, 71), (4, 73), (5, 74), (7, 74), (9, 74), (11, 76), (12, 74)], [(1, 67), (2, 71), (3, 72), (4, 74), (5, 76), (7, 73), (9, 76), (11, 79), (12, 78)], [(1, 67), (2, 66), (3, 69), (4, 71), (5, 72), (7, 57), (9, 66)]]"
150,"[[(1, 69), (3, 79), (4, 77), (5, 81), (6, 77), (7, 76), (8, 78), (9, 80)], [(1, 69), (3, 74), (5, 76), (6, 73), (7, 72), (8, 77), (9, 76), (11, 76)], [(1, 69), (3, 71), (4, 74), (5, 76), (7, 76), (8, 69), (9, 71), (11, 67)], [(1, 69), (3, 71), (4, 72), (5, 74), (7, 73), (8, 74), (9, 73), (11, 69), (12, 67)], [(1, 69), (3, 74), (4, 73), (5, 72), (7, 76), (8, 77), (9, 75), (11, 74)], [(1, 69), (2, 74), (3, 69), (4, 70), (5, 72), (7, 73), (8, 71), (9, 72), (11, 70), (12, 69)], [(1, 69), (3, 62), (4, 61), (5, 62), (6, 65), (7, 71), (8, 74), (9, 74), (11, 74), (12, 76)], [(1, 69), (3, 74), (4, 78), (5, 79), (7, 77), (9, 76), (11, 77), (12, 79)]]"
151,"[[(1, 79), (2, 76), (3, 78), (4, 79), (5, 79), (7, 77), (9, 81), (11, 82), (12, 84)], [(1, 79), (3, 74), (4, 73), (5, 74), (7, 73), (8, 69), (9, 70), (11, 74), (12, 75)], [(1, 79), (3, 83), (4, 79), (5, 72), (7, 70), (9, 67), (11, 70), (12, 67)], [(1, 79), (3, 81), (5, 81), (7, 71), (8, 72), (9, 74), (11, 78), (12, 74)], [(1, 79), (2, 77), (3, 76), (4, 77), (5, 79), (7, 78), (8, 74), (9, 71), (11, 69), (12, 73)], [(1, 79), (2, 81), (3, 79), (5, 81), (7, 82), (8, 81), (9, 83), (11, 79)], [(1, 79), (2, 78), (3, 76), (5, 73), (7, 76), (8, 78), (9, 81), (11, 74)], [(1, 79), (2, 81), (3, 79), (4, 80), (5, 79), (6, 78), (7, 79), (8, 81), (9, 81), (11, 79), (12, 70)]]"
152,"[[(1, 74), (2, 73), (3, 74), (4, 72), (5, 71), (6, 72), (7, 70), (9, 69)], [(1, 74), (2, 77), (3, 74), (4, 72), (5, 74), (9, 72)], [(1, 74), (2, 73), (3, 71), (4, 73), (5, 76), (7, 79), (9, 79)], [(1, 74), (2, 72), (3, 69), (4, 66), (5, 64), (7, 66), (8, 67), (9, 65)], [(1, 74), (2, 69), (3, 70), (4, 75), (5, 77), (7, 76), (8, 74), (9, 66), (11, 64)], [(1, 74), (3, 73), (4, 76), (5, 75), (7, 77), (8, 72), (9, 74), (11, 74)], [(1, 74), (2, 72), (3, 79), (4, 76), (5, 74), (7, 74), (8, 69), (9, 72)], [(1, 74), (3, 73), (4, 69), (5, 71), (7, 71), (9, 72)]]"
153,"[[(1, 74), (3, 71), (4, 67), (5, 71), (7, 71), (8, 73), (9, 74)], [(1, 74), (3, 76), (4, 73), (5, 74), (7, 71), (9, 74), (10, 72)], [(1, 74), (3, 74), (4, 73), (5, 74), (7, 72), (9, 71), (11, 74)], [(1, 74), (2, 72), (3, 71), (5, 71), (7, 71), (9, 72), (11, 71)], [(1, 74), (2, 77), (3, 76), (5, 78), (7, 76), (9, 76), (10, 72)], [(1, 74), (2, 76), (3, 74), (4, 76), (5, 73), (6, 74), (7, 71), (9, 69), (10, 70)], [(1, 74), (3, 59), (5, 57), (6, 64), (7, 65), (9, 62), (10, 66)], [(1, 74), (5, 79), (7, 78), (9, 69), (10, 72)]]"
154,"[[(1, 70), (3, 69), (5, 71), (6, 67), (7, 64), (8, 62), (9, 59), (11, 60)], [(1, 70), (3, 72), (4, 70), (5, 72), (6, 71), (7, 72), (8, 71), (9, 74)], [(1, 70), (2, 69), (3, 71), (4, 72), (5, 72), (6, 75), (7, 74), (9, 79)], [(1, 70), (2, 72), (3, 71), (4, 69), (5, 71), (6, 67), (7, 69), (8, 67), (9, 66), (11, 66), (12, 67)], [(1, 70), (2, 72), (3, 71), (4, 69), (5, 70), (7, 74), (8, 72), (9, 74), (11, 62), (12, 64)], [(1, 70), (2, 72), (3, 75), (4, 72), (5, 71), (6, 72), (7, 70), (8, 69), (9, 67), (11, 71)], [(1, 70), (2, 69), (3, 67), (4, 66), (5, 66), (7, 67), (8, 69), (9, 72), (11, 72), (12, 74)], [(1, 70), (3, 82), (4, 81), (5, 76), (7, 72), (8, 74), (9, 73), (11, 69), (12, 65)]]"
155,"[[(1, 79), (3, 76), (4, 73), (5, 74), (7, 71), (8, 72), (9, 74), (10, 77)], [(1, 79), (3, 81), (4, 79), (5, 75), (7, 79), (8, 76), (9, 74), (11, 73)], [(1, 79), (3, 74), (5, 76), (7, 72), (8, 71), (9, 69), (11, 74)], [(1, 79), (3, 76), (5, 74), (8, 78), (9, 79), (11, 81), (12, 83)], [(1, 79), (3, 76), (5, 77), (6, 76), (7, 77), (8, 76), (9, 74), (11, 62), (12, 66)], [(1, 79), (3, 77), (4, 81), (5, 82), (6, 75), (7, 77), (9, 74), (11, 74), (12, 72)], [(1, 79), (3, 83), (4, 79), (5, 74), (7, 72), (9, 72), (11, 74), (12, 70)], [(1, 79), (3, 79), (4, 81), (5, 76), (7, 72), (9, 72), (11, 69), (12, 72)]]"
156,"[[(1, 79), (3, 83), (5, 78), (9, 76), (11, 72)], [(1, 79), (3, 82), (4, 81), (5, 82), (9, 82), (11, 81)], [(1, 79), (3, 79), (4, 83), (5, 81), (7, 79), (9, 76), (11, 79)], [(1, 79), (3, 79), (4, 81), (5, 79), (6, 76), (7, 74), (9, 71), (11, 67), (12, 64)], [(1, 79), (3, 83), (4, 85), (5, 76), (6, 74), (7, 73), (9, 74)], [(1, 79), (3, 79), (4, 81), (5, 76), (6, 77), (7, 76), (9, 78), (11, 74), (12, 72)], [(1, 79), (2, 77), (3, 76), (4, 77), (5, 76), (6, 77), (7, 79), (8, 77), (9, 81), (11, 81), (12, 83)], [(1, 79), (4, 81), (5, 79), (7, 74), (8, 71), (9, 69), (11, 67), (12, 71)]]"
157,"[[(1, 67), (3, 76), (4, 73), (5, 74), (9, 76), (11, 78)], [(1, 67), (3, 71), (4, 69), (5, 79), (9, 71), (11, 74)], [(1, 67), (3, 71), (4, 72), (5, 74), (9, 62)], [(1, 67), (3, 71), (4, 69), (5, 71), (9, 73)], [(1, 67), (3, 69), (4, 69), (5, 70), (7, 65), (9, 62)], [(1, 67), (3, 66), (4, 69), (5, 65), (6, 64), (7, 65), (8, 69), (9, 72)], [(1, 67), (2, 71), (3, 72), (4, 74), (5, 76), (6, 72), (7, 70), (8, 72), (9, 70), (11, 74)], [(1, 67), (3, 75), (4, 74), (5, 72), (6, 70), (7, 69), (8, 67), (9, 65), (10, 67), (11, 71), (12, 69)]]"
158,"[[(1, 78), (3, 77), (5, 76), (6, 77), (7, 76), (9, 69)], [(1, 78), (3, 81), (5, 76), (6, 74), (7, 65), (8, 64), (9, 62)], [(1, 78), (3, 79), (4, 72), (5, 69), (6, 74), (7, 73), (8, 71), (9, 69)], [(1, 78), (3, 71), (4, 76), (5, 79), (7, 81), (8, 78), (9, 74), (11, 75)], [(1, 78), (3, 76), (4, 79), (5, 81), (6, 83), (7, 79), (8, 78), (9, 81), (10, 79), (11, 77)], [(1, 78), (2, 76), (3, 77), (4, 79), (5, 77), (6, 79), (7, 76), (8, 74), (9, 72), (11, 70), (12, 74)], [(1, 78), (3, 76), (4, 74), (5, 83), (6, 79), (7, 81), (8, 79), (9, 78)], [(1, 78), (3, 78), (4, 73), (5, 74), (6, 73), (7, 71), (9, 73)]]"
